state,County,County FIPS,Latitude,Longitude,Total Properties,FEMA Properties at Risk 2020 (total),FEMA Properties at Risk 2020 (pct),FS Properties at Risk 2020 (total),FS Properties at Risk 2020 (pct),FS Properties at Risk 2035 (total),FS Properties at Risk 2035 (pct),FS Properties at Risk 2050 (total),FS Properties at Risk 2050 (pct),"FS-FEMA Difference, 2020 (total)","FS-FEMA Difference, 2020 (pct)","Avg Risk Score, (2+ Only)","Avg Risk Score, (All Props)","Avg Risk Score, (FSF 1-100 Risk)","Avg Risk Score, (FEMA SFHA Risk)","Avg Risk Score, (No FEMA SFHA Risk)"
ky,Adair,21001,37.1041534562996,-85.280649769072,14058,341,2.4,1043,7.4,1062,7.6,1080,7.7,702,205.9,7.62166531932094,1.5826575615308,8.37104506232023,5.55131964809384,
ky,Allen,21003,36.7513165543721,-86.1904186708494,14158,297,2.1,984,7,992,7,1001,7.1,687,231.3,7.73982300884956,1.5379290860291,8.38211382113821,5.95286195286195,
ky,Anderson,21005,38.0039134108987,-84.9910045766175,12302,246,2,1001,8.1,1013,8.2,1025,8.3,755,306.9,6.96261682242991,1.57047634530971,7.56843156843157,6.5609756097561,
ky,Ballard,21007,37.0584319295026,-88.9993411295802,6462,740,11.5,568,8.8,574,8.9,581,9,-172,-23.2,7.48228043143297,1.65103683070257,8.07218309859155,4.52432432432433,
ky,Barren,21009,36.9655811760135,-85.9336633199889,23787,470,2,2305,9.7,2346,9.9,2387,10,1835,390.4,7.12171753016324,1.7252280657502,7.8824295010846,4.72340425531915,
ky,Bath,21011,38.1449736905906,-83.7426672199874,6816,423,6.2,917,13.5,924,13.6,930,13.6,494,116.8,7.89382239382239,2.04782863849765,8.46128680479826,5.29787234042553,
ky,Boone,21015,38.9698644800228,-84.7278481207103,51683,501,1,3529,6.8,3620,7,3710,7.2,3028,604.4,6.72281986724651,1.48377609658882,7.42108245962029,6.78443113772455,
ky,Bourbon,21017,38.2067299514105,-84.2171399549163,9114,465,5.1,852,9.3,855,9.4,858,9.4,387,83.2,7.18467583497053,1.69080535439982,7.90492957746479,6.43655913978495,
ky,Boyd,21019,38.3595724684552,-82.6877258113169,26320,1593,6.1,4934,18.7,5016,19.1,5099,19.4,3341,209.7,6.55107565180225,2.48035714285714,7.87271990271585,6.69805398618958,
ky,Boyle,21021,37.6243602285061,-84.8668203813824,12680,335,2.6,1393,11,1422,11.2,1452,11.5,1058,315.8,7.42805320435308,1.8384858044164,8.12203876525485,7.11641791044776,
ky,Bracken,21023,38.6888129740231,-84.0901906654822,5900,555,9.4,953,16.2,956,16.2,959,16.3,398,71.7,7.70008873114463,2.27983050847458,8.37565582371459,8.48468468468469,
ky,Breathitt,21025,37.5216171411451,-83.3240853122168,8492,1006,11.8,3552,41.8,3572,42.1,3592,42.3,2546,253.1,8.59928168291432,4.48822421102214,9.06728603603604,6.71968190854871,
ky,Breckinridge,21027,37.7732676848037,-86.4292775360844,21463,926,4.3,1309,6.1,1324,6.2,1338,6.2,383,41.4,6.98570611778159,1.48776965009551,8.11841100076394,4.3963282937365,
ky,Bullitt,21029,37.970075770777,-85.6958570320404,33387,2932,8.8,1786,5.3,1818,5.4,1849,5.5,-1146,-39.1,6.63702127659574,1.39677119837062,7.67245240761478,2.1756480218281,
ky,Butler,21031,37.2072808134494,-86.6817555613694,8622,576,6.7,937,10.9,942,10.9,948,11,361,62.7,7.58916900093371,1.81848758988634,8.15795090715048,5.83680555555556,
ky,Caldwell,21033,37.1453332323422,-87.8679057735201,9377,338,3.6,832,8.9,842,9,852,9.1,494,146.2,6.83950617283951,1.65575343926629,7.73557692307692,4.02662721893491,
ky,Calloway,21035,36.621101281708,-88.2722011189508,37439,938,2.5,3526,9.4,3546,9.5,3565,9.5,2588,275.9,7.31292358027577,1.72152033975266,8.12489355662788,4.87313432835821,
ky,Campbell,21037,38.9464767902741,-84.3796958268202,36667,1565,4.3,3461,9.4,3534,9.6,3607,9.8,1896,121.2,6.32351598173516,1.63591240079636,7.03062698642011,6.74952076677316,
