Version 1.0.0 of the First Street Foundation Flood Model Aggregate Data are licensed for noncommercial use (CC 4.0 BY-NC-SA)  and any use of this data should be attributed to the First Street Foundation Flood Model with citation of the most current Technical Methodology Document.  A simlified methodology document to understand how these data were developed is also available here.,
Variable,Variable Label
Congressional District,Congressional District Name
state,State
Congressional District ID,Congressional District ID
Total Properties,Total Properties in Congressional District
FEMA Properties at Risk 2020 (total),"Total Properties Identified at Risk by FEMA, 2020"
FEMA Properties at Risk 2020 (pct),"Percent of Properties Identified at Risk by FEMA, 2020"
FS Properties at Risk 2020 (total),"Total Properties Identified at Risk by First Street Model, 2020"
FS Properties at Risk 2020 (pct),"Percent of Properties Identified at Risk by First Street Model, 2020"
FS Properties at Risk 2035 (total),"Total Properties Identified at Risk by First Street Model, 2035"
FS Properties at Risk 2035 (pct),"Percent of Properties Identified at Risk by First Street Model, 2035"
FS Properties at Risk 2050 (total),"Total Properties Identified at Risk by First Street Model, 2050"
FS Properties at Risk 2050 (pct),"Percent of Properties Identified at Risk by First Street Model, 2050"
"FS-FEMA Difference, 2020 (total)","Absolute Difference in Risk between First Street Model and FEMA, 2020"
"FS-FEMA Difference, 2020 (pct)","Percent Change in Risk between First Street Model and FEMA, 2020"
