cdfp,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_2020_5,pct_fs_risk_2020_5,count_fs_risk_2050_5,pct_fs_risk_2050_5,count_fs_risk_2020_100,pct_fs_risk_2020_100,count_fs_risk_2050_100,pct_fs_risk_2050_100,count_fs_risk_2020_500,pct_fs_risk_2020_500,count_fs_risk_2050_500,pct_fs_risk_2050_500,count_fs_fema_difference_2020,pct_fs_fema_difference_2020,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_2020_100,avg_risk_fsf_2020_500,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
0101,427620,46796,10.9,17554,4.1,25813,6.0,77201,18.1,86057,20.1,92501,21.6,101420,23.7,30405,7.1,2.28,6.42,7.27,6.75,6.87,1.72,326179,4602,7850,7125,8256,34172,10004,2771,15468,11193
0102,440336,21423,4.9,10906,2.5,11726,2.7,33336,7.6,34922,7.9,40900,9.3,43173,9.8,11913,2.7,1.54,6.51,7.44,6.77,3.99,1.42,397132,2410,3233,5001,2072,10326,5631,1433,7226,5872
0103,468500,27979,6.0,18622,4.0,20485,4.4,52640,11.2,55262,11.8,63614,13.6,66265,14.1,24661,5.3,1.84,6.94,7.81,7.15,5.25,1.62,402138,2940,3571,5228,3837,14132,9630,2697,13485,10842
0104,503148,19698,3.9,20393,4.1,21695,4.3,55599,11.1,56956,11.3,69022,13.7,70062,13.9,35901,7.1,1.82,6.89,7.78,6.99,4.75,1.71,432737,2011,5784,5470,3137,17772,8792,2164,12100,13181
0105,372086,19078,5.1,11033,3.0,11637,3.1,42911,11.5,44161,11.9,57964,15.6,59105,15.9,23833,6.4,1.83,6.24,7.22,6.33,4.68,1.68,312966,1386,6280,6895,3798,18037,7909,1436,7858,5521
0106,357707,10995,3.1,10725,3.0,11768,3.3,37492,10.5,39324,11.0,44326,12.4,46098,12.9,26497,7.4,1.74,6.75,7.49,6.94,5.30,1.63,311551,1883,2246,5364,1815,12535,5507,1587,8089,7130
0107,428700,41927,9.8,12508,2.9,13894,3.2,50242,11.7,54119,12.6,65449,15.3,68638,16.0,8315,1.9,1.82,6.09,6.97,6.29,4.02,1.58,360018,3310,5108,12170,2785,22534,5961,1385,8526,6903
0401,481478,27535,5.7,9211,1.9,9719,2.0,48687,10.1,48928,10.2,74892,15.6,74791,15.5,21152,4.4,1.70,5.40,6.58,5.43,3.57,1.59,404852,3749,15832,13976,6941,12974,10100,1959,7348,3747
0402,370500,25984,7.0,4993,1.3,5012,1.4,23385,6.3,23446,6.3,35523,9.6,35497,9.6,-2599,-0.7,1.44,5.50,6.65,5.53,2.98,1.32,334647,835,7401,6095,4276,6518,4534,899,3357,1938
0403,319298,19371,6.1,2903,0.9,2864,0.9,18873,5.9,19131,6.0,41603,13.0,41748,13.1,-498,-0.2,1.48,4.65,6.26,4.69,2.86,1.40,276957,2463,12799,10434,3351,6543,2796,576,1982,1397
0404,633095,31861,5.0,8841,1.4,9253,1.5,42375,6.7,40980,6.5,76461,12.1,78127,12.3,10514,1.7,1.56,5.43,7.10,5.54,3.29,1.46,553539,3519,14916,17628,5901,14439,8913,1643,7742,4855
0405,326010,1496,0.5,0,0.0,0,0.0,0,0.0,0,0.0,11643,3.6,11510,3.5,-1496,-0.5,1.09,3.26,,3.34,1.11,1.09,313551,2093,5666,4393,37,270,0,0,0,0
0406,314337,13823,4.4,578,0.2,578,0.2,3200,1.0,3247,1.0,43650,13.9,44629,14.2,-10623,-3.4,1.37,3.60,5.36,3.65,1.29,1.38,269214,3628,18238,19711,662,2254,409,96,110,15
0407,205602,4022,2.0,3,0.0,5,0.0,5085,2.5,4980,2.4,51615,25.1,50626,24.6,1063,0.5,1.59,3.34,5.62,3.35,2.19,1.58,153638,6292,30400,10324,1549,3092,222,34,48,3
0408,334319,2985,0.9,330,0.1,333,0.1,14365,4.3,14230,4.3,47163,14.1,46077,13.8,11380,3.4,1.38,3.69,4.86,3.69,2.96,1.37,287043,4715,19462,16679,1238,3731,893,116,344,98
0409,235693,2414,1.0,0,0.0,0,0.0,1945,0.8,1952,0.8,12984,5.5,13285,5.6,-469,-0.2,1.16,3.87,6.35,3.94,1.96,1.16,222187,1062,5607,4259,173,1815,381,37,171,1
0501,534332,71179,13.3,18991,3.6,19380,3.6,47919,9.0,49170,9.2,65878,12.3,67615,12.7,-23260,-4.4,1.81,6.20,7.43,6.34,3.34,1.58,450880,4077,9861,13300,4647,17258,9183,2008,12237,10881
0502,411543,25367,6.2,10026,2.4,10250,2.5,34285,8.3,35163,8.5,46399,11.3,47305,11.5,8918,2.2,1.66,6.29,7.29,6.36,4.42,1.47,360569,1306,5476,6643,2835,13873,6798,1519,7250,5274
