Congressional District,state,Congressional District ID,Total Properties,FEMA Properties at Risk 2020 (total),FEMA Properties at Risk 2020 (pct),FS Properties at Risk 2020 (total),FS Properties at Risk 2020 (pct),FS Properties at Risk 2035 (total),FS Properties at Risk 2035 (pct),FS Properties at Risk 2050 (total),FS Properties at Risk 2050 (pct),"FS-FEMA Difference, 2020 (total)","FS-FEMA Difference, 2020 (pct)"
Congressional District 1,ky,2101,458518,23376,5.1,40377,8.8,40906,8.9,41435,9,17001,72.7
Congressional District 2,ky,2102,349699,17303,4.9,27170,7.8,27799,7.9,28428,8.1,9867,57
Congressional District 3,ky,2103,276231,9977,3.6,20293,7.3,21182,7.7,22070,8,10316,103.4
Congressional District 4,ky,2104,290171,11959,4.1,31559,10.9,32048,11,32538,11.2,19600,163.9
Congressional District 5,ky,2105,312801,26272,8.4,82901,26.5,83564,26.7,84228,26.9,56629,215.5
Congressional District 6,ky,2106,299379,7920,2.6,24703,8.3,25162,8.4,25620,8.6,16783,211.9
Congressional District 1,tn,4701,403089,12088,3,61792,15.3,62720,15.6,63648,15.8,49704,411.2
Congressional District 2,tn,4702,356919,7414,2.1,43267,12.1,43861,12.3,44455,12.5,35853,483.6
Congressional District 3,tn,4703,379409,12510,3.3,72012,19,72692,19.2,73372,19.3,59502,475.6
Congressional District 4,tn,4704,373975,12880,3.4,43603,11.7,44234,11.8,44865,12,30723,238.5
Congressional District 5,tn,4705,300087,8609,2.9,29987,10,30487,10.2,30987,10.3,21378,248.3
Congressional District 6,tn,4706,425183,7812,1.8,43154,10.1,43695,10.3,44236,10.4,35342,452.4
Congressional District 7,tn,4707,418590,18956,4.5,49347,11.8,49922,11.9,50496,12.1,30391,160.3
Congressional District 8,tn,4708,364809,17239,4.7,24027,6.6,24364,6.7,24702,6.8,6788,39.4
Congressional District 9,tn,4709,257995,3855,1.5,15987,6.2,17425,6.8,18863,7.3,12132,314.7
Congressional District 1,wv,5401,450582,34965,7.8,91969,20.4,92544,20.5,93120,20.7,57004,163
Congressional District 2,wv,5402,407397,39869,9.8,105594,25.9,106266,26.1,106937,26.2,65725,164.9
Congressional District 3,wv,5403,481526,59394,12.3,129076,26.8,130261,27.1,131446,27.3,69682,117.3
Congressional District 1,mi,2601,570654,15197,2.7,44338,7.8,44882,7.9,45425,8,29141,191.8
Congressional District 2,mi,2602,355528,6362,1.8,27466,7.7,27848,7.8,28229,7.9,21104,331.7
Congressional District 3,mi,2603,301380,6418,2.1,25247,8.4,25576,8.5,25906,8.6,18829,293.4
Congressional District 4,mi,2604,398926,9493,2.4,31795,8,32098,8,32402,8.1,22302,234.9
Congressional District 5,mi,2605,319496,14493,4.5,16070,5,16248,5.1,16425,5.1,1577,10.9
Congressional District 6,mi,2606,371893,8350,2.2,27322,7.3,27864,7.5,28405,7.6,18972,227.2
Congressional District 7,mi,2607,338868,15967,4.7,25280,7.5,25801,7.6,26322,7.8,9313,58.3
Congressional District 8,mi,2608,288367,8044,2.8,14959,5.2,15227,5.3,15495,5.4,6915,86
Congressional District 9,mi,2609,286183,1720,0.6,18816,6.6,19878,6.9,20941,7.3,17096,994
Congressional District 10,mi,2610,307635,15406,5,21133,6.9,21813,7.1,22493,7.3,5727,37.2
Congressional District 11,mi,2611,276678,3834,1.4,12206,4.4,12478,4.5,12749,4.6,8372,218.4
Congressional District 12,mi,2612,253285,14014,5.5,16774,6.6,17418,6.9,18061,7.1,2760,19.7
Congressional District 13,mi,2613,347370,3026,0.9,15363,4.4,16134,4.6,16906,4.9,12337,407.7
Congressional District 14,mi,2614,313037,1741,0.6,18799,6,19367,6.2,19935,6.4,17058,979.8
Delegate District (at Large),mi,6698,36,24,66.7,0,0,0,0,0,0,-24,-100
Congressional District 1,co,801,231462,1933,0.8,6347,2.7,6504,2.8,6661,2.9,4414,228.3
Congressional District 2,co,802,383700,8651,2.3,30874,8,31354,8.2,31833,8.3,22223,256.9
Congressional District 3,co,803,379778,7939,2.1,31435,8.3,31862,8.4,32288,8.5,23496,296
Congressional District 4,co,804,390413,12517,3.2,24099,6.2,24244,6.2,24389,6.2,11582,92.5
